Variant SKU,Product Name,Active,Variant Image,Option Name-1,Option Value-1,Option Name-2,Option Value-2,Option Name-3,Option Value-3,Option Name-4,Option Value-4,Option Name-5,Option Value-5,Option Name-6,Option Value-6,Category-1,Category-2,Category-3,Category-4,Category-5,Category-6,Tags,Length (mm),Width (mm),Height (mm),Weight (grams),Variant Price,Variant Wholesale Price,Variant Cost,Variant Landed Cost,UPC,HS Code,Country of Origin
001_106_GCM_7.5,001_106_GCM_7.5,TRUE,,,,,,,,,,,,Unit of Measure,PR,,,,,,,,,,,,,,,,,,
001_106_GCM_8,001_106_GCM_8,TRUE,,,,,,,,,,,,Unit of Measure,PR,,,,,,,,,,,,,,,,,,
001_106_GCM_8.5,001_106_GCM_8.5,TRUE,,,,,,,,,,,,Unit of Measure,PR,,,,,,,,,,,,,,,,,,
001_106_GCM_9,001_106_GCM_9,TRUE,,,,,,,,,,,,Unit of Measure,PR,,,,,,,,,,,,,,,,,,
001_106_GCM_9.5,001_106_GCM_9.5,TRUE,,,,,,,,,,,,Unit of Measure,PR,,,,,,,,,,,,,,,,,,
001_106_WCM_10,001_106_WCM_10,TRUE,,,,,,,,,,,,Unit of Measure,PR,,,,,,,,,,,,,,,,,,
001_106_WCM_10.5,001_106_WCM_10.5,TRUE,,,,,,,,,,,,Unit of Measure,PR,,,,,,,,,,,,,,,,,,
001_106_WCM_11,001_106_WCM_11,TRUE,,,,,,,,,,,,Unit of Measure,PR,,,,,,,,,,,,,,,,,,
001_106_WCM_6,001_106_WCM_6,TRUE,,,,,,,,,,,,Unit of Measure,PR,,,,,,,,,,,,,,,,,,
001_106_WCM_6.5,001_106_WCM_6.5,TRUE,,,,,,,,,,,,Unit of Measure,PR,,,,,,,,,,,,,,,,,,
001_106_WCM_7,001_106_WCM_7,TRUE,,,,,,,,,,,,Unit of Measure,PR,,,,,,,,,,,,,,,,,,
001_106_WCM_7.5,001_106_WCM_7.5,TRUE,,,,,,,,,,,,Unit of Measure,PR,,,,,,,,,,,,,,,,,,
